PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z
08055		0.164053	-0.036148	10.137953	0.009155	0.014687	-0.011444	-0.406494	0.056396	-0.592529
08056		0.180828	-0.011353	10.113539	-0.000191	0.014877	-0.006294	-0.411133	0.052002	-0.592041
08057		0.200982	-0.024171	10.137949	0.004578	0.008583	-0.010681	-0.408936	0.052002	-0.588867
08058		0.206207	-0.011875	10.144052	-0.000954	0.008965	0.000572	-0.411377	0.052002	-0.588867
08059		0.182362	-0.017964	10.119643	0.006866	0.014687	0.000763	-0.411377	0.056641	-0.586426
08060		0.168434	-0.011599	10.046402	-0.001335	0.018692	-0.008583	-0.409180	0.058838	-0.589600
08061		0.200827	-0.011433	10.119642	0.015259	0.011635	-0.001526	-0.408936	0.056396	-0.595459
08062		0.174893	-0.034959	10.125748	0.002670	0.017166	-0.000954	-0.406494	0.054199	-0.592285
08063		0.194723	-0.011852	10.137951	0.006866	0.011635	-0.007629	-0.408936	0.054199	-0.589111
08064		0.162687	-0.029585	10.125747	0.005150	0.017166	-0.005531	-0.406494	0.058838	-0.595703
08065		0.200599	-0.017987	10.095232	0.006104	0.016212	-0.015259	-0.408936	0.054199	-0.589111
08066		0.174531	0.006495	10.137953	-0.003433	0.014877	0.008202	-0.418457	0.052246	-0.594727
08067		0.182365	-0.024215	10.101332	0.003815	0.014687	-0.006866	-0.411377	0.052002	-0.588867
08068		0.168766	-0.023745	10.089122	0.005722	0.012016	0.001335	-0.413818	0.052002	-0.588867
08069		0.188427	-0.024375	10.125747	0.000763	0.015450	0.000000	-0.408936	0.058838	-0.592529
08070		0.186912	-0.012146	10.125745	0.001144	0.013351	-0.003815	-0.413818	0.056641	-0.595215
08071		0.182596	-0.005715	10.076914	0.007629	0.010109	-0.004578	-0.411377	0.052002	-0.588867
08072		0.175050	-0.005039	10.076920	0.005913	0.017929	-0.004005	-0.413818	0.056641	-0.589355
08073		0.182669	-0.018074	10.186776	0.004578	0.008583	-0.003815	-0.409180	0.061035	-0.592773
08074		0.169973	-0.036056	10.107424	0.003624	0.001335	-0.000954	-0.406494	0.054199	-0.592285
08075		0.164399	-0.054391	10.131845	0.010681	0.007820	0.000000	-0.413818	0.054443	-0.589111
08076		0.176309	-0.029288	10.144041	0.003433	-0.003242	-0.007629	-0.411133	0.052002	-0.594971
08077		0.194763	-0.011772	10.125744	0.008392	0.010872	-0.010681	-0.411133	0.054199	-0.595215
08078		0.193515	0.007351	10.070813	0.009537	0.012970	-0.004768	-0.413574	0.054443	-0.598145
08079		0.218982	-0.005937	10.150163	0.003052	0.014687	-0.010681	-0.408691	0.054199	-0.598145
08080		0.175015	-0.017648	10.083017	0.007439	0.009155	-0.001526	-0.411133	0.054199	-0.595215
08081		0.194763	-0.005787	10.113536	0.006104	0.010872	-0.007629	-0.411377	0.054199	-0.589111
08082		0.211960	-0.017517	10.095226	0.004196	0.010300	-0.008583	-0.406250	0.052002	-0.592041
